program,label,mean_activation,num_samples
0,Mixed,0.0,256
0,Engineered,0.0,256
0,Environmental,0.0,256
0,Host-associated,0.0,256
1,Mixed,0.0,256
1,Engineered,0.0,256
1,Environmental,0.0,256
1,Host-associated,0.0,256
2,Mixed,0.403433,256
2,Environmental,0.372155,256
2,Engineered,0.363631,256
2,Host-associated,0.106758,256
3,Engineered,0.0,256
3,Mixed,0.0,256
3,Environmental,0.0,256
3,Host-associated,0.0,256
4,Environmental,0.601528,256
4,Mixed,0.259033,256
4,Host-associated,0.256288,256
4,Engineered,0.089788,256
5,Mixed,1e-06,256
5,Engineered,0.0,256
5,Environmental,0.0,256
5,Host-associated,0.0,256
6,Mixed,0.0,256
6,Engineered,0.0,256
6,Environmental,0.0,256
6,Host-associated,0.0,256
7,Engineered,2e-06,256
7,Mixed,2e-06,256
7,Environmental,0.0,256
7,Host-associated,0.0,256
8,Engineered,0.0,256
8,Mixed,0.0,256
8,Environmental,0.0,256
8,Host-associated,0.0,256
9,Mixed,0.0,256
9,Engineered,0.0,256
9,Environmental,0.0,256
9,Host-associated,0.0,256
10,Host-associated,0.636953,256
10,Engineered,0.546577,256
10,Mixed,0.33753,256
10,Environmental,0.026317,256
11,Mixed,0.0,256
11,Engineered,0.0,256
11,Environmental,0.0,256
11,Host-associated,0.0,256
12,Mixed,0.0,256
12,Engineered,0.0,256
12,Environmental,0.0,256
12,Host-associated,0.0,256
13,Engineered,0.0,256
13,Mixed,0.0,256
13,Environmental,0.0,256
13,Host-associated,0.0,256
14,Mixed,0.0,256
14,Engineered,0.0,256
14,Environmental,0.0,256
14,Host-associated,0.0,256
15,Mixed,0.0,256
15,Engineered,0.0,256
15,Environmental,0.0,256
15,Host-associated,0.0,256
