program,metric,value
all,dead_program_fraction,0.8125
all,effective_programs_mean,1.109149
all,activation_entropy_mean,0.082762
all,dictionary_entropy_mean,6.835072
all,dictionary_cosine_mean_offdiag,0.89307
0,program_mean_usage,0.0
1,program_mean_usage,0.0
2,program_mean_usage,0.311494
3,program_mean_usage,0.0
4,program_mean_usage,0.301659
5,program_mean_usage,0.0
6,program_mean_usage,0.0
7,program_mean_usage,1e-06
8,program_mean_usage,0.0
9,program_mean_usage,0.0
10,program_mean_usage,0.386844
11,program_mean_usage,0.0
12,program_mean_usage,0.0
13,program_mean_usage,0.0
14,program_mean_usage,0.0
15,program_mean_usage,0.0
