program,rank,taxon,weight
0,1,g__Aerococcus,0.001174
0,2,g__Candidatus_Actinomarina,0.001174
0,3,g__Pirellula,0.00117
0,4,g__Romboutsia,0.001168
0,5,g__Massilia,0.001166
0,6,g__Erysipelothrix,0.001164
0,7,g__Blastopirellula,0.001161
0,8,g__Amoebophrya,0.001161
0,9,g__Cercomonas,0.001158
0,10,g__Methylobacterium,0.001158
0,11,g__Limnohabitans,0.001156
0,12,g__Subdoligranulum,0.001156
0,13,g__Photobacterium,0.001154
0,14,g__Actinomyces,0.001153
0,15,g__Chryseobacterium,0.001151
0,16,g__Desulfatiglans,0.001149
0,17,g__Nitrosomonas,0.001148
0,18,g__Woeseia,0.001147
0,19,g__Faecalibacterium,0.001147
0,20,g__Luteolibacter,0.001147
1,1,g__Paucibacter,0.001228
1,2,g__Candidatus_Solibacter,0.001222
1,3,g__Bdellovibrio,0.001221
1,4,g__Streptococcus,0.001215
1,5,g__Streptomyces,0.001213
1,6,g__Acinetobacter,0.001212
1,7,g__Actinomyces,0.00121
1,8,g__Fusobacterium,0.001209
1,9,g__Woeseia,0.001209
1,10,g__Bryobacter,0.001208
1,11,g__Veillonella,0.001206
1,12,g__Nocardioides,0.001204
1,13,g__Luteolibacter,0.001204
1,14,g__Pedomicrobium,0.001203
1,15,g__Neisseria,0.001202
1,16,g__Aminobacterium,0.001201
1,17,g__Candidatus_Udaeobacter,0.001201
1,18,g__Gemmatimonas,0.0012
1,19,g__Fluviicola,0.0012
1,20,g__Bacteroides,0.001198
2,1,g__Haliangium,0.006174
2,2,g__Bryobacter,0.006057
2,3,g__Polynucleobacter,0.005942
2,4,g__Flavobacterium,0.005871
2,5,g__Candidatus_Udaeobacter,0.005817
2,6,g__Candidatus_Solibacter,0.005791
2,7,g__Chthoniobacter,0.00549
2,8,g__Sphingomonas,0.005482
2,9,g__Ferruginibacter,0.005382
2,10,g__Pirellula,0.005361
2,11,g__Sediminibacterium,0.005174
2,12,g__Gaiella,0.005115
2,13,g__Gemmatimonas,0.005045
2,14,g__Acidibacter,0.005014
2,15,g__Hyphomicrobium,0.004886
2,16,g__Mycobacterium,0.004821
2,17,g__Proteiniphilum,0.004808
2,18,g__Nocardioides,0.004758
2,19,g__Pseudomonas,0.004672
2,20,g__Syntrophomonas,0.004552
3,1,g__Woeseia,0.001211
3,2,g__Legionella,0.001203
3,3,g__Porphyromonas,0.001201
3,4,g__Parabacteroides,0.001193
3,5,g__Fusobacterium,0.001191
3,6,g__Amoebophrya,0.001188
3,7,g__Solirubrobacter,0.001186
3,8,g__Candidatus_Udaeobacter,0.001186
3,9,g__Halomonas,0.001184
3,10,g__Alistipes,0.001182
3,11,g__Thermus,0.00118
3,12,g__Flavobacterium,0.00118
3,13,g__Lactobacillus,0.001178
3,14,g__Gaiella,0.001178
3,15,g__Ferruginibacter,0.001177
3,16,g__Haliangium,0.001176
3,17,g__Altererythrobacter,0.001176
3,18,g__Blautia,0.001174
3,19,g__Fastidiosipila,0.001173
3,20,g__Fusibacter,0.001171
4,1,g__Acinetobacter,0.007109
4,2,g__Candidatus_Actinomarina,0.006688
4,3,g__Streptococcus,0.006674
4,4,g__Woeseia,0.006263
4,5,g__Haemophilus,0.006202
4,6,g__Amoebophrya,0.005983
4,7,g__Pseudomonas,0.005855
4,8,g__Neisseria,0.005816
4,9,g__Desulfatiglans,0.005747
4,10,g__Pseudohongiella,0.005702
4,11,g__Staphylococcus,0.005481
4,12,g__Veillonella,0.005255
4,13,g__Rothia,0.005163
4,14,g__Methylobacterium,0.005107
4,15,g__Halomonas,0.00508
4,16,g__Marinoscillum,0.005075
4,17,g__Fluviicola,0.00506
4,18,g__Actinomyces,0.005004
4,19,g__Gemella,0.004976
4,20,g__Prevotella,0.004952
5,1,g__Bryobacter,0.001332
5,2,g__Mycobacterium,0.001326
5,3,g__Pseudomonas,0.001289
5,4,g__Amoebophrya,0.001268
5,5,g__Chthoniobacter,0.001266
5,6,g__Marinoscillum,0.001262
5,7,g__Faecalibacterium,0.001261
5,8,g__Bradyrhizobium,0.001261
5,9,g__Acidibacter,0.001259
5,10,g__Sediminibacterium,0.001255
5,11,g__Candidatus_Actinomarina,0.001252
5,12,g__Sphingomonas,0.00125
5,13,g__Candidatus_Solibacter,0.001249
5,14,g__Woeseia,0.001248
5,15,g__Arcobacter,0.001247
5,16,g__Paenibacillus,0.001245
5,17,g__Pirellula,0.001243
5,18,g__Pajaroellobacter,0.001242
5,19,g__Coxiella,0.001242
5,20,g__Legionella,0.001241
6,1,g__Neisseria,0.001253
6,2,g__Actinomyces,0.001248
6,3,g__Solirubrobacter,0.001247
6,4,g__Acinetobacter,0.001227
6,5,g__Marinoscillum,0.001226
6,6,g__Candidatus_Actinomarina,0.001223
6,7,g__Leptotrichia,0.001222
6,8,g__Romboutsia,0.00122
6,9,g__Bacteroides,0.00122
6,10,g__Chryseobacterium,0.00122
6,11,g__Gemmatimonas,0.00121
6,12,g__Gemella,0.001209
6,13,g__Sphingomonas,0.001209
6,14,g__Moraxella,0.001209
6,15,g__Nocardioides,0.001208
6,16,g__Pseudohongiella,0.001208
6,17,g__Porphyromonas,0.001207
6,18,g__Dolosigranulum,0.001204
6,19,g__Granulicatella,0.001201
6,20,g__Blastopirellula,0.001201
7,1,g__Pseudomonas,0.00145
7,2,g__Bacillus,0.00143
7,3,g__Aerococcus,0.001419
7,4,g__Romboutsia,0.001414
7,5,g__Turicibacter,0.001409
7,6,g__Lactococcus,0.001406
7,7,g__Streptococcus,0.00139
7,8,g__Lactobacillus,0.001382
7,9,g__Sphingomonas,0.00138
7,10,g__Flavobacterium,0.001376
7,11,g__Amoebophrya,0.00137
7,12,g__Corynebacterium,0.001368
7,13,g__Acinetobacter,0.001365
7,14,g__Staphylococcus,0.001365
7,15,g__Haliangium,0.001355
7,16,g__Paracoccus,0.001347
7,17,g__Fusobacterium,0.001343
7,18,g__Rothia,0.001337
7,19,g__Blautia,0.001337
7,20,g__Alistipes,0.001336
8,1,g__Neisseria,0.001252
8,2,g__Bryobacter,0.001237
8,3,g__Actinomyces,0.001234
8,4,g__Woeseia,0.001225
8,5,g__Haemophilus,0.001222
8,6,g__Akkermansia,0.001218
8,7,g__Methylobacterium,0.001216
8,8,g__Acinetobacter,0.001212
8,9,g__Candidatus_Actinomarina,0.001211
8,10,g__Leptotrichia,0.001208
8,11,g__Amoebophrya,0.001208
8,12,g__Sediminibacterium,0.001207
8,13,g__Solirubrobacter,0.001204
8,14,g__Veillonella,0.001204
8,15,g__Staphylococcus,0.001203
8,16,g__Gaiella,0.001201
8,17,g__Porphyromonas,0.0012
8,18,g__Bradyrhizobium,0.0012
8,19,g__Halomonas,0.001198
8,20,g__Anaeromyxobacter,0.001197
9,1,g__Peptoniphilus,0.001211
9,2,g__Coxiella,0.001176
9,3,g__Pirellula,0.001173
9,4,g__Marinoscillum,0.001168
9,5,g__Fusobacterium,0.001167
9,6,g__Actinomyces,0.001167
9,7,g__Pedomicrobium,0.001166
9,8,g__Turicibacter,0.001166
9,9,g__Desulfatiglans,0.001165
9,10,g__Syntrophomonas,0.001165
9,11,g__Neisseria,0.001164
9,12,g__Limnohabitans,0.001164
9,13,g__Candidatus_Solibacter,0.001163
9,14,g__Solirubrobacter,0.001162
9,15,g__Gardnerella,0.001161
9,16,g__Dialister,0.001159
9,17,g__Collinsella,0.001159
9,18,g__Sphingomonas,0.001158
9,19,g__Dolosigranulum,0.001158
9,20,g__Anaerostipes,0.001155
10,1,g__Pseudomonas,0.008984
10,2,g__Streptococcus,0.008132
10,3,g__Lactobacillus,0.00789
10,4,g__Staphylococcus,0.007807
10,5,g__Bacteroides,0.007583
10,6,g__Acinetobacter,0.007451
10,7,g__Bacillus,0.007357
10,8,g__Faecalibacterium,0.007285
10,9,g__Romboutsia,0.006916
10,10,g__Blautia,0.006668
10,11,g__Flavobacterium,0.006521
10,12,g__Bifidobacterium,0.006252
10,13,g__Akkermansia,0.00619
10,14,g__Roseburia,0.006168
10,15,g__Alistipes,0.006164
10,16,g__Lactococcus,0.006137
10,17,g__Parabacteroides,0.00599
10,18,g__Subdoligranulum,0.005926
10,19,g__Arcobacter,0.005855
10,20,g__Phascolarctobacterium,0.005369
11,1,g__Erysipelothrix,0.001183
11,2,g__Solirubrobacter,0.001176
11,3,g__Luteolibacter,0.001171
11,4,g__Pseudohongiella,0.001171
