rank,taxon,source_index,train_prevalence,train_mean_abundance
1,g__Pseudomonas,7412,0.6268292682926829,0.043449338525533676
2,g__Acinetobacter,109,0.5573170731707318,0.0230752881616354
3,g__Streptococcus,8593,0.49878048780487805,0.040629252791404724
4,g__Flavobacterium,3413,0.47317073170731705,0.012258883565664291
5,g__Lactobacillus,4662,0.4219512195121951,0.0168119128793478
6,g__Bacteroides,960,0.4195121951219512,0.028094228357076645
7,g__Sphingomonas,8394,0.4170731707317073,0.010795003734529018
8,g__Bacillus,956,0.38170731707317074,0.013899486511945724
9,g__Mycobacterium,5676,0.3780487804878049,0.0030996459536254406
10,g__Nocardioides,5951,0.37073170731707317,0.003987207543104887
11,g__Haliangium,3858,0.3621951219512195,0.006708494853228331
12,g__Romboutsia,7818,0.35609756097560974,0.006185547914355993
13,g__Bdellovibrio,1039,0.3475609756097561,0.0017916143406182528
14,g__Blautia,1131,0.3439024390243902,0.00623232452198863
15,g__Methylobacterium,5395,0.325609756097561,0.006153038702905178
16,g__Corynebacterium,2296,0.325609756097561,0.003926184959709644
17,g__Brevundimonas,1255,0.3207317073170732,0.0016859234310686588
18,g__Faecalibacterium,3313,0.3170731707317073,0.010829497128725052
19,g__Actinomyces,156,0.3170731707317073,0.005307646002620459
20,g__Chryseobacterium,2002,0.31097560975609756,0.003453299170359969
21,g__Roseburia,7825,0.3048780487804878,0.004353127907961607
22,g__Hyphomicrobium,4316,0.3048780487804878,0.0027054068632423878
23,g__Legionella,4745,0.3048780487804878,0.002554794540628791
24,g__Coxiella,2319,0.30365853658536585,0.0019576314371079206
25,g__Staphylococcus,8491,0.3024390243902439,0.01340332068502903
26,g__Lachnoclostridium,4648,0.2951219512195122,0.002337042475119233
27,g__Pirellula,6884,0.2926829268292683,0.0028999645728617907
28,g__Veillonella,9425,0.2865853658536585,0.007761204149574041
29,g__Bifidobacterium,1091,0.2865853658536585,0.0042224484495818615
30,g__Clostridium,2122,0.2841463414634146,0.003075386630371213
31,g__Ferruginibacter,3359,0.2804878048780488,0.004755303729325533
32,g__Fusobacterium,3512,0.2804878048780488,0.004602483008056879
33,g__Fluviicola,3434,0.2804878048780488,0.003138634841889143
34,g__Luteolibacter,5025,0.27682926829268295,0.0031248684972524643
35,g__Paenibacillus,6291,0.275609756097561,0.0030833673663437366
36,g__Turicibacter,9297,0.275609756097561,0.0018077603308483958
