program,label,mean_activation,num_samples
0,Host-associated,0.169101,32
0,Mixed,0.156935,32
0,Engineered,0.13703,32
0,Environmental,0.028696,32
1,Mixed,0.23758,32
1,Environmental,0.159793,32
1,Host-associated,0.065694,32
1,Engineered,0.005124,32
2,Mixed,0.159374,32
2,Environmental,0.147879,32
2,Host-associated,0.063357,32
2,Engineered,0.012416,32
3,Host-associated,0.214069,32
3,Mixed,0.056782,32
3,Engineered,0.036401,32
3,Environmental,0.013841,32
4,Environmental,0.457885,32
4,Engineered,0.34095,32
4,Mixed,0.297386,32
4,Host-associated,0.246892,32
5,Host-associated,0.232653,32
5,Environmental,0.059319,32
5,Engineered,0.059259,32
5,Mixed,0.043136,32
6,Engineered,0.199319,32
6,Environmental,0.081002,32
6,Mixed,0.04598,32
6,Host-associated,0.004236,32
7,Engineered,0.209501,32
7,Environmental,0.051583,32
7,Host-associated,0.003998,32
7,Mixed,0.002828,32
