program,rank,taxon,weight
0,1,g__Turicibacter,0.000201
0,2,g__Acinetobacter,0.000201
0,3,g__Nocardioides,0.000201
0,4,g__Chryseobacterium,0.0002
0,5,g__Facklamia,0.0002
0,6,g__Brevibacterium,0.000199
0,7,g__Roseburia,0.000198
0,8,g__Hymenobacter,0.000197
0,9,g__Blautia,0.000197
0,10,g__Bacillus,0.000197
0,11,g__Marmoricola,0.000197
0,12,g__Aerococcus,0.000196
0,13,g__Lautropia,0.000196
0,14,g__Arthrobacter,0.000196
0,15,g__Peptoclostridium,0.000196
0,16,g__Solirubrobacter,0.000196
0,17,g__Gordonia,0.000196
0,18,g__Acidiphilium,0.000195
0,19,g__Kocuria,0.000195
0,20,g__Neisseria,0.000194
1,1,g__Nocardioides,0.000221
1,2,g__Ferruginibacter,0.00022
1,3,g__Fluviicola,0.000219
1,4,g__Phenylobacterium,0.000218
1,5,g__Flavobacterium,0.000216
1,6,g__Iamia,0.000215
1,7,g__Gemmatimonas,0.000213
1,8,g__Pseudonocardia,0.000213
1,9,g__Novosphingobium,0.000213
1,10,g__Pseudarcicella,0.000213
1,11,g__Legionella,0.000213
1,12,g__Pajaroellobacter,0.000212
1,13,g__Sphingomonas,0.000211
1,14,g__Dinghuibacter,0.00021
1,15,g__Ilumatobacter,0.00021
1,16,g__Peredibacter,0.000209
1,17,g__Terrimicrobium,0.000209
1,18,g__Candidatus_Solibacter,0.000208
1,19,g__Bryobacter,0.000208
1,20,g__Gaiella,0.000208
2,1,g__Phenylobacterium,0.000213
2,2,g__Steroidobacter,0.000212
2,3,g__Dinghuibacter,0.000211
2,4,g__Pajaroellobacter,0.00021
2,5,g__Ilumatobacter,0.00021
2,6,g__Chthoniobacter,0.000209
2,7,g__Iamia,0.000209
2,8,g__Fluviicola,0.000209
2,9,g__Gaiella,0.000209
2,10,g__Candidatus_Udaeobacter,0.000208
2,11,g__Candidatus_Megaira,0.000207
2,12,g__Haliangium,0.000207
2,13,g__Sulfuritalea,0.000207
2,14,g__Reyranella,0.000207
2,15,g__Ferruginibacter,0.000206
2,16,g__Pirellula,0.000206
2,17,g__Novosphingobium,0.000205
2,18,g__Bryobacter,0.000204
2,19,g__Terrimonas,0.000204
2,20,g__Hyphomicrobium,0.000204
3,1,g__Porphyromonas,0.000216
3,2,g__Actinomyces,0.000211
3,3,g__Prevotella,0.000208
3,4,g__Oribacterium,0.000207
3,5,g__Bergeyella,0.000206
3,6,g__Haemophilus,0.000205
3,7,g__Streptococcus,0.000205
3,8,g__Fusobacterium,0.000204
3,9,g__Gemella,0.000203
3,10,g__Neisseria,0.000203
3,11,g__Kocuria,0.000202
3,12,g__Rothia,0.000202
3,13,g__Leptotrichia,0.000201
3,14,g__Campylobacter,0.000201
3,15,g__Granulicatella,0.0002
3,16,g__Veillonella,0.000199
3,17,g__Capnocytophaga,0.000199
3,18,g__Atopobium,0.000196
3,19,g__Alloprevotella,0.000196
3,20,g__Acinetobacter,0.000195
4,1,g__Pseudonocardia,0.000206
4,2,g__Pseudomonas,0.000206
4,3,g__Fluviicola,0.000205
4,4,g__Acinetobacter,0.000202
4,5,g__Streptococcus,0.000202
4,6,g__Lactobacillus,0.000202
4,7,g__Ilumatobacter,0.000201
4,8,g__Lactococcus,0.000201
4,9,g__Solirubrobacter,0.000198
4,10,g__Brevundimonas,0.000197
4,11,g__Rubellimicrobium,0.000197
4,12,g__Holdemanella,0.000197
4,13,g__Parasutterella,0.000196
4,14,g__Streptomyces,0.000196
4,15,g__Staphylococcus,0.000196
4,16,g__Altererythrobacter,0.000196
4,17,g__Litoricola,0.000196
4,18,g__Bifidobacterium,0.000195
4,19,g__Gemella,0.000195
4,20,g__Candidatus_Actinomarina,0.000195
5,1,g__Turicibacter,0.000214
5,2,g__Bifidobacterium,0.000214
5,3,g__Blautia,0.000209
5,4,g__Prevotella,0.000209
5,5,g__Fusicatenibacter,0.000208
5,6,g__Agathobacter,0.000207
5,7,g__Faecalibacterium,0.000207
5,8,g__Butyricicoccus,0.000207
5,9,g__Oscillibacter,0.000206
5,10,g__Roseburia,0.000206
5,11,g__Pseudomonas,0.000206
5,12,g__Akkermansia,0.000205
5,13,g__Acinetobacter,0.000204
5,14,g__Odoribacter,0.000203
5,15,g__Holdemanella,0.000203
5,16,g__Desulfovibrio,0.000202
5,17,g__Dorea,0.000202
5,18,g__Romboutsia,0.000202
5,19,g__Anaerostipes,0.000202
5,20,g__Negativibacillus,0.000202
6,1,g__Pirellula,0.000212
6,2,g__Acinetobacter,0.000208
6,3,g__Paucibacter,0.000207
6,4,g__Streptomyces,0.000206
6,5,g__Hyphomicrobium,0.000206
6,6,g__Leptotrichia,0.000205
6,7,g__Prevotella,0.000204
6,8,g__Dialister,0.000203
6,9,g__Pseudomonas,0.000203
6,10,g__Aeromonas,0.000202
6,11,g__Nocardioides,0.000202
6,12,g__Bdellovibrio,0.0002
6,13,g__Dinghuibacter,0.0002
6,14,g__Luteolibacter,0.0002
6,15,g__Holdemanella,0.0002
6,16,g__Catenibacterium,0.000199
6,17,g__Terrimonas,0.000199
6,18,g__Arenimonas,0.000199
6,19,g__Fluviicola,0.000199
6,20,g__Brevundimonas,0.000199
7,1,g__Syntrophus,0.000202
7,2,g__Phaselicystis,0.0002
7,3,g__Pseudohongiella,0.000198
7,4,g__Hyphomicrobium,0.000196
7,5,g__Geobacter,0.000195
7,6,g__Limnobacter,0.000195
7,7,g__Enterococcus,0.000193
7,8,g__Flavobacterium,0.000193
7,9,g__Fluviicola,0.000192
7,10,g__Shewanella,0.000191
7,11,g__Lautropia,0.000191
7,12,g__Candidatus_Accumulibacter,0.00019
7,13,g__Longilinea,0.00019
7,14,g__Terrimonas,0.00019
7,15,g__Syntrophorhabdus,0.00019
7,16,g__Ilumatobacter,0.000189
7,17,g__Oleiphilus,0.000189
7,18,g__Thermovirga,0.000189
7,19,g__Geothermobacter,0.000189
7,20,g__Sulfurifustis,0.000188
